address,symbol,name,decimals
0x47d8e61656feecdb4fd2e7c615667a832715cba5,BTT,Bit Tap,18
0xab770d7c1f37c5658881877cdafde9c028ed6799,COME,COME,18
0xa94c3f6453b115e7e68ecd833efc1f322b3278e0,MUT,MUT Block Chain,18
0xaf55787f6f40f17e6de9987058817c558b8cef52,,,18
0x2f3ab0e4b5545ce373ca1cec0931c3532416d699,,,18
0x760b8b38a0bd67d5fbd067a46c8bab797d9648b7,SHOP,SHOP,18
0x305615737ca8d00b2425b06238047cf10c57ed1c,,,
0x4f5a896b2c54367e6bfdc626b9bb90f1d9c28ca6,,,
0xd86a0b407e2c378f6eced3c4b84f91a7f491aaee,DEAD,DO NOT USE - Disabled,0
0x48ab32f6f4b163829a5c7b0f3f262b79760a9c55,,,0
0x2a070c51192f081cfefe23fed3c8df4dd242fdb6,DG2,D. Godín,0
0x1fe4857b85f3e280d5e5a34d1596070cdbfc6e65,MTR,MTR,1
0xe375fd071d9bc1de700d487c591181a7632c05ff,agt,Aggregating Chain Token,2
0x41e05c0dc2d6e03d34c0831e66eba83a3603eeee,HDSL,HDSL,2
0x02ea97a845a718f00bc99cbe73e041ff41e07f69, TRV, Travelcoin,5
0x7a1f53ee63851a4a6bfc6a34a1fe5c1ca20aec64,VTTC,VTTCoin,5
0xfd818d75d90e85a0fa0946943776c286555def44,TAT,TattooCoins,6
0x1af28790514cc2254ab431dd5a00d1a311c5791d,lll,Illuminati,6
0xd9ee10aaa5718ba299a04a8b252f598fcd106a46,CXK,CaiXuKun,6
0x45d290b093f696bc71101124ba1dd28fd4505a24,KEY,KEY,7
0x318333afe175f02febab66bb2b8372e041c57524,1918.cx,Sunac China Holdings Limited,8
0x1cf9645a1ceb238e8432e4f315809ba13e80ace5,XBT,XBT Token,8
0x6d8d513acc2ebecd02c95b0e34bba4e6b336efc0,BB2,BOBOv2,8
0x618d50937d1c68368d1570b43b9329a8e33907db,MVCC,Master Value Network ,8
